,total_equity,net_income,stock_price,market_cap,share_outstanding,pe_ratio,market_return,risk_free_bond_rate,Beta,RRR,Actual_return_equity,Abnormal_Return,GWF,Notional Goodwill,Notional Equity Value,Difference_price,Advali_Notional_Stock_Price,Advali_Valuation_Diff
2011,3632600000.0,493200000.0,8.97,5120973000.0,570900000.0,10.32,0.065,0.0502,1.38,0.1399,0.13577052249077795,-15000740.000000004,7.147962830593281,-107224731.95139389,3525375268.048606,-1595597731.951394,6.175118703886155,0.45260365510948924
2012,3911200000.0,503100000.0,7.2,3880080000.0,538900000.0,7.77,0.065,0.0289,1.45,0.12315,0.12863059930456125,21435719.999999978,8.120178643930167,174061875.7612666,4085261875.7612667,205181875.7612667,7.580742022195707,-0.05022490161001785
2013,4329300000.0,552500000.0,8.35,4805425000.0,575500000.0,8.21,0.065,0.0375,1.45,0.13175,0.1276187836370776,-17885274.999999978,7.590132827324478,-135751612.90322563,4193548387.0967746,-611876612.9032254,7.286791289481798,0.14590903846153833
2014,4868800000.0,823300000.0,13.11,7571025000.0,577500000.0,8.69,0.065,0.034675,1.57,0.13672499999999999,0.1690971081169898,157613320.00000003,7.313951362223442,1152776156.5185595,6021576156.518559,-1549448843.4814405,10.426971699599237,0.2573161582958823
2015,5168200000.0,618900000.0,15.03,8724915000.0,580500000.0,13.37,0.065,0.029025,1.44,0.122625,0.11975155760225997,-14850524.999999998,8.154943934760448,-121105198.77675839,5047094801.223242,-3677820198.776758,8.694392422434525,0.7287004392874453
2016,5614700000.0,698100000.0,12.6,7336980000.0,582300000.0,9.98,0.065,0.019275,1.25,0.100525,0.12433433665200277,133682282.49999996,9.947774185525988,1329841158.915692,6944541158.915692,-392438841.0843077,11.926053853538884,0.056510406102277685
2017,6166500000.0,758700000.0,16.65,9715275000.0,583500000.0,12.32,0.065,0.026425,1.07,0.095975,0.1230357577231817,166870162.49999994,10.419380046887209,1738683641.5733256,7905183641.573326,-1810091358.426674,13.547872564821468,0.2289752446619216
2018,6414200000.0,793600000.0,19.81,11376883000.0,574300000.0,14.46,0.065,0.0264,0.97,0.08945,0.12372548408219264,219849810.0,11.179429849077696,2457795528.2280602,8871995528.22806,-2504887471.77194,15.448364144572627,0.282336421811996
2019,6357000000.0,467000000.0,13.0,7332000000.0,564000000.0,15.68,0.065,0.0131,1.12,0.0859,0.07346232499606732,-79066300.00000006,11.641443538998836,-920445867.2875444,5436554132.712456,-1895445867.2875443,9.639280377149744,0.3486483940042829
2020,6932000000.0,-342000000.0,12.37,8510559999.999999,688000000.0,0.0,0.065,0.0088,1.59,0.11215000000000001,-0.049336410848240045,-1119423800.0,8.91662951404369,-9981487293.80294,-3049487293.8029404,-11560047293.80294,-4.432394322387995,-3.7908166783625745
