Net Income (Continuing Operations),Market Cap,Shares Outstanding (EOP),Beta,PE Ratio,Total Equity,Market Return,risk_free_values,RRR,Actual_return_equity,GWF,Notional Goodwill,Notional Equity Value,difference,Month End Stock Price,Notional Stock Price,Advali_Valuation
884398000.0,33634680999.999996,3704260000.0,1.3,19.59,22631320000.0,0.085,0.0554,0.16590000000000002,0.03907849829351536,6.027727546714888,-17300409813.140446,5330910186.859554,-28303770813.14044,9.08,1.439129593187183,5.31%
2731520000.0,54396360000.0,6044040000.0,1.24,24.35,30778880000.0,0.085,0.0582,0.16360000000000002,0.08874656907593778,6.112469437652811,-14082547481.662596,16696332518.337404,-37700027481.6626,9.0,2.7624457346968923,2.26%
2422836000.0,49913115000.0,6215830000.0,0.99,21.37,25792983000.0,0.085,0.054,0.13815,0.09393391993473574,7.238508867173363,-8255263130.293159,17537719869.70684,-32375395130.29316,8.03,2.821460668922226,1.85%
4056346000.0,72925547000.0,6227630000.0,1.33,18.89,27112484000.0,0.085,0.0576,0.17065000000000002,0.14961174343154984,5.859947260474655,-3342510369.762674,23769973630.237328,-49155573369.76267,11.71,3.816857075683258,2.07%
8642912000.0,102711795000.0,6056120000.0,1.62,12.51,23362464000.0,0.085,0.0523,0.19,0.3699486492520652,5.2631578947368425,22126546526.315792,45489010526.315796,-57222784473.684204,16.96,7.5112465615469635,1.26%
14241968000.0,161627110000.0,5964100000.0,2.2,11.63,33063160000.000004,0.085,0.0535,0.24050000000000002,0.43075035780004084,4.158004158004157,26155002162.16215,59218162162.162155,-102408947837.83784,27.1,9.9291028256002,1.73%
16019752000.0,187345538000.0,5723970000.0,1.69,12.04,35512666000.0,0.085,0.057,0.20065,0.4510996724379972,4.9838026414154,44326616332.41964,79839282332.41965,-107506255667.58035,32.73,13.948235635829617,1.35%
16776062000.000002,227271333000.0,5564920000.0,1.24,14.14,41034193000.0,0.085,0.0621,0.1675,0.4088312885792588,5.970149253731343,59121401029.85075,100155594029.85075,-127115738970.14925,40.84,17.99767005273225,1.27%
7897148000.0,180510434000.0,5564440000.0,1.04,24.7,50725906000.0,0.085,0.0422,0.1306,0.15568273930878632,7.656967840735069,9742302269.525267,60468208269.52527,-120042225730.47473,32.44,10.866899143404416,1.99%
15233539000.0,195755240000.0,5564390000.0,1.05,13.19,57764259000.0,0.085,0.0547,0.14395000000000002,0.2637191104624055,6.9468565474122945,48060951142.41054,105825210142.41054,-89930029857.58946,35.18,19.01829493303139,0.85%
22557132000.0,218974272000.0,5349970000.0,1.01,10.18,54405210000.0,0.085,0.0556,0.14145000000000002,0.4146134533806597,7.0696359137504405,105065500498.40932,159470710498.4093,-59503561501.5907,40.93,29.80777658536577,0.37%
16633616999.999998,156434741000.0,5322720000.0,1.2,10.15,67152085000.00001,0.085,0.0383,0.1403,0.24770067824401873,7.127583749109052,51405413218.10404,118557498218.10405,-37877242781.89595,29.39,22.273855889113847,0.32%
14965788000.0,156003354000.0,5322530000.0,1.18,13.17,79733169000.0,0.085,0.0323,0.1326,0.18769839688674608,7.541478129713424,33130993895.927597,112864162895.9276,-43139191104.0724,29.31,21.204983888475518,0.38%
15971940000.0,178524583000.0,5321150000.0,1.17,12.12,91187976000.0,0.085,0.042425,0.141875,0.17515401372654657,7.048458149779735,21389574660.792942,112577550660.79294,-65947032339.20706,33.55,21.156620403633227,0.59%
5689440000.0,143938190000.0,5321190000.0,1.14,58.3,91426320000.0,0.085,0.02955,0.12645,0.062229782408391804,7.908264136022143,-46432725693.95018,44993594306.04982,-98944595693.95018,27.05,8.455551165444161,2.20%
-421512000.0,99263506000.0,5322440000.0,1.4,0.0,81155921000.0,0.085,0.02845,0.14745,-0.005193853939504919,6.78195998643608,-84014598517.80264,-2858677517.802643,-102122183517.80264,18.65,-0.5370990594168544,-35.72%
8849468000.0,123933874000.0,5323620000.0,1.11,15.95,82923772000.0,0.085,0.027925,0.12227500000000002,0.10671810732391672,8.178286648947044,-10550286005.315897,72373485994.6841,-51560388005.3159,23.28,13.59478813188847,0.71%
10330496000.0,180520563000.0,5323520000.0,1.03,36.63,80933780000.0,0.085,0.0258,0.11335,0.12764133838800065,8.822232024702249,10204252642.258482,91138032642.25848,-89382530357.74152,33.91,17.119881702756537,0.98%
13708800000.0,208183987000.0,5057920000.0,0.66,17.88,74626560000.0,0.085,0.0243,0.0804,0.18369867242976226,12.437810945273633,95880902686.56715,170507462686.56714,-37676524313.43286,41.16,33.71098449294713,0.22%
12658464000.0,181166456000.0,5057690000.0,0.9,15.75,75704454000.0,0.085,0.012,0.08850000000000001,0.16720897293572715,11.299435028248586,67329037525.42372,143033491525.4237,-38132964474.576294,35.82,28.28039906072213,0.27%
